0 250 250 
0 250 250 500 
0 250 250 500 
0 250 250 500 500 
0 250 250 500 500 
0 500 500 500 
0 500 500 
0 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 
0 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 
0 500 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 250 500 
0 250 500 500 
0 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 
0 250 250 250 
0 500 250 250 
0 250 500 125 125 
0 250 500 250 250 
0 250 250 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 
0 500 250 250 500 
0 500 500 250 250 
0 500 250 250 250 
0 500 250 250 500 
0 250 250 125 125 500 
0 250 250 125 125 125 125 
0 250 250 125 125 
0 250 125 125 250 
0 250 125 125 62.5 62.5 
0 125 125 125 250 
0 250 250 125 125 
0 250 125 125 62.5 62.5 
0 250 125 125 250 
0 125 125 125 250 
0 125 125 62.5 62.5 
0 125 62.5 62.5 125 
0 125 62.5 62.5 125 
0 62.5 62.5 125 125 
0 125 62.5 62.5 125 250 
0 125 62.5 62.5 125 250 
0 125 125 250 250 
0 500 125 125 250 250 
0 500 250 250 500 
0 125 125 250 250 500 
0 250 250 500 500 
0 500 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 500 
0 500 500 500 500 
0 250 250 500 250 250 500 
0 125 125 500 250 250 
0 125 125 250 250 500 
0 500 250 250 500 
0 250 250 500 500 
0 250 250 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 
0 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 250 250 500 500 500 
0 500 500 500 250 250 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 250 250 250 250 
0 500 500 250 250 
0 500 250 250 500 
0 500 250 250 125 125 
0 250 250 500 250 
0 500 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 
0 500 500 250 250 
0 500 500 250 250 
0 500 500 500 
0 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 250 250 500 
0 500 500 250 250 
0 500 250 125 125 125 125 
0 500 250 125 125 250 
0 250 250 125 125 
0 250 125 125 62.5 62.5 
0 250 125 125 250 
0 125 125 125 250 
0 250 250 125 125 
0 250 125 125 250 
0 250 125 125 62.5 62.5 
0 125 125 250 125 
0 250 125 125 250 500 
0 125 125 62.5 62.5 
0 125 62.5 62.5 125 
0 125 62.5 62.5 125 
0 62.5 62.5 125 125 
0 125 62.5 62.5 125 250 
0 125 62.5 62.5 125 250 
0 125 125 250 250 
0 250 125 125 500 250 
0 500 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 250 250 
0 500 500 250 250 
0 500 250 250 250 
0 500 250 250 250 
0 250 250 125 125 125 125 
0 500 250 250 125 125 
0 500 250 250 500 
0 250 250 125 125 
0 250 125 125 250 
0 250 125 125 62.5 62.5 
0 125 125 250 125 
0 250 125 125 500 250 
0 500 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 250 250 500 
0 250 500 250 250 
0 125 125 250 250 250 
0 500 250 250 500 
0 250 250 250 500 
0 125 125 250 250 250 
0 250 250 250 500 
0 250 250 250 500 
0 250 250 500 500 
0 500 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 125 125 250 
0 250 125 125 125 125 
0 250 250 125 125 
0 250 125 125 62.5 62.5 
0 250 125 125 125 
0 125 125 125 125 
0 250 250 125 125 
0 250 125 62.5 62.5 125 
0 250 125 62.5 62.5 125 
0 125 125 62.5 62.5 
0 125 62.5 62.5 125 
0 125 62.5 62.5 125 
0 62.5 62.5 125 125 
0 125 125 125 125 
0 125 125 125 250 
0 62.5 62.5 125 125 250 
0 125 125 250 250 
0 125 125 62.5 62.5 
0 125 62.5 62.5 125 
0 125 62.5 62.5 125 
0 62.5 62.5 125 125 
0 125 62.5 62.5 125 250 
0 125 62.5 62.5 125 250 
0 125 125 250 250 
0 250 125 125 250 500 
0 125 125 125 125 250 500 
0 250 250 500 500 
0 500 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 250 250 500 500 500 
0 250 250 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 250 250 
0 250 250 250 125 125 
0 250 250 500 
0 250 250 250 500 
0 125 250 125 125 
0 62.5 62.5 125 125 250 
0 250 125 125 250 
0 125 125 250 250 
0 125 125 125 125 250 500 
0 250 125 125 250 500 
0 250 250 500 500 
0 250 250 250 250 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 500 
0 500 500 500 
0 500 500 
0 250 250 500 500 500 
